Borough,Properties,Min,Max,Median,Mean,Standard Deviation,Lower Quartile,Upper Quartile,Average House Price,Knife Crime,per 1000p,Median Age,Borough Area (Hectares),Public Parks (Hectares),Green Coverage (%),Commute Satisfaction (%),Population,Population Density (/km2),Pubs,Pub Density (/km2),Wealth Rank,Knife Crime Rank,Age Rank,Green Rank,Commute Rank,Pub Rank,Average Lifestyle Rank,Weighted Average Lifestyle Rank,Ranked Weighted Rank Average,Rent Rank,Rent Rank + Lifestyle Rank,Ranked (Rent Rank - (RENT VALUE)
Richmond upon Thames,118,150,2800,900,969.69,349.31,795,1048.75,764828,94,0.48,41,5876,2371,40.35%,70,195278,3323.32,115,1.96,4,1,31,1,4,13,9,9.8,1,16,17,1
Wandsworth,105,575,2750,975,1037.69,292.11,860,1200,625562,324,0.99,33,3522,686,19.48%,60,327506,9298.86,135,3.83,8,12,4,13,28,10,12.5,9.95,2,22,24,3
Hackney,349,400,3683.33,1000,1092.58,421.61,850,1200,634428,501,1.93,32,1905,506,26.56%,61,259146,13603.46,185,9.71,7,30,2,4,26,4,12.17,10.1,3,23,26,9
Camden,204,169,4825,1300,1393.82,526.4,1100,1600,895595,323,1.54,34,2180,435,19.95%,61,210136,9639.27,230,10.55,2,24,9,12,26,3,12.67,10.25,4,30,34,20
Westminster,80,695,3900,1404.16,1593.15,631.89,1202.25,1820,891532,606,2.97,35,2203,429,19.47%,71,204236,9270.81,430,19.52,3,32,11,14,3,1,10.67,11.45,5,32,37,26
Hammersmith and Fulham,207,500,4554.33,1200,1327.23,584.04,950,1500,764097,210,1.15,34,1715,211,12.30%,76,183157,10679.71,100,5.83,5,15,9,28,1,8,11,11.81,6,28,34,20
Islington,428,450,5500,1200.33,1378.3,647.18,1042.75,1500,701705,383,1.77,33,1486,155,10.43%,69,216589,14575.3,215,14.47,6,27,4,31,8,2,13,12.98,7,29,36,24
Merton,151,470,3300,950,995.15,331.82,800,1100,579749,176,0.82,37,3762,1053,27.99%,65,215187,5720.02,45,1.2,11,10,21,2,16,20,13.33,13.16,8,17,25,6
Hounslow,187,190,2730,850,888.06,295.29,700,1000,456638,258,0.9,36,5659,1568,27.71%,74,288181,5092.44,75,1.33,23,11,16,3,2,19,12.33,14.58,9,11,20,2
Lambeth,413,491,5000,1075,1183.49,434.38,900,1300,561538,571,1.8,33,2725,398,14.61%,65,317654,11657.03,145,5.32,12,29,4,23,16,9,15.5,15.08,10,25,35,23
Kensington and Chelsea,118,580,3250,1350,1470.53,524.51,1200,1688.92,1275716,196,1.37,39,1238,159,12.84%,66,143375,11581.18,110,8.89,1,21,27,27,12,5,15.5,15.15,11,31,42,29
Ealing,117,500,1850,950,999.5,269.91,800,1170,537014,421,1.15,36,5545,1065,19.21%,64,367115,6620.65,95,1.71,14,15,16,15,20,15,15.83,15.15,11,17,28,10
Waltham Forest,492,350,3683.33,850,928.59,342.53,733.75,1041.25,513126,375,1.35,35,3881,989,25.48%,66,278425,7174.05,45,1.16,17,20,11,5,12,22,14.5,15.25,13,11,24,3
Barnet,27,450,1300,950,910.49,189.02,825,1041.66,581455,268,0.69,37,8675,1749,20.16%,63,389344,4488.12,75,0.86,10,7,21,11,23,27,16.5,15.42,14,17,31,13
Tower Hamlets,133,400,3295,1030,1105.87,404.89,866.67,1200,510543,537,1.73,30,2158,258,11.96%,70,310306,14379.33,130,6.02,19,26,1,29,4,6,14.17,15.48,15,24,39,28
Brent,81,541.67,2166.67,950,1091.16,368.18,850,1300,533424,353,1.04,35,4323,622,14.39%,63,339816,7860.65,75,1.73,15,14,11,25,23,14,17,15.78,16,17,33,17
Southwark,259,491,5000,1150,1228.21,489.74,899,1424,517634,495,1.61,33,2991,353,11.80%,67,307637,10285.42,175,5.85,16,25,4,30,11,7,15.5,15.79,17,27,44,30
Kingston upon Thames,216,5,3000,850,902.17,334.18,711.25,1000,557012,93,0.55,38,3726,510,13.69%,59,168063,4510.55,60,1.61,13,2,25,26,30,16,18.67,16.51,18,11,29,11
Haringey,130,410,1875,800,899.65,305.53,720,969.58,589982,633,2.4,36,2960,548,18.51%,64,264238,8926.96,65,2.2,9,31,16,16,20,12,17.33,16.65,19,5,24,3
Redbridge,196,230,2600,800,826.04,261.21,685.5,900,467406,315,1.02,36,5644,1231,21.81%,70,310260,5497.17,50,0.89,21,13,16,8,4,26,14.67,16.72,20,5,25,6
Greenwich,158,495,3900,1100,1176.41,457.17,900,1300,436789,371,1.28,35,5044,1183,23.45%,60,289068,5730.93,75,1.49,26,18,11,6,28,17,17.67,16.74,21,26,47,31
Harrow,343,200,2166.67,850,912.88,287.95,750,1000,511914,170,0.65,38,5046,1028,20.37%,65,261203,5176.44,50,0.99,18,5,25,10,16,25,16.5,16.82,22,11,33,17
Lewisham,69,450,1971.67,850,953.72,316.05,750,1075,463117,381,1.27,35,3532,514,14.55%,62,300553,8509.43,90,2.55,22,17,11,24,25,11,18.33,17.3,23,11,34,20
Bexley,11,600,800,700,720,69.25,662.5,797.5,403089,167,0.68,39,6429,1189,18.49%,65,246472,3833.75,90,1.4,30,6,27,17,16,18,19,19.93,24,1,25,6
Hillingdon,14,550,950,754.16,760.74,112.11,669,837.5,454705,241,0.79,36,11570,1764,15.25%,58,305909,2643.98,85,0.73,24,8,16,22,31,28,21.5,20.13,25,4,29,11
Bromley,142,450,3033.33,810,853.17,275.24,728.75,900,508819,180,0.55,41,15013,2585,17.22%,68,329991,2198.04,105,0.7,20,2,31,20,9,30,18.67,20.15,26,10,36,24
Croydon,302,400,2800,800,851.73,280.56,700,900,410686,519,1.33,37,8649,1909,22.07%,57,390719,4517.5,90,1.04,29,19,21,7,32,24,22,21.17,27,5,32,14
Sutton,121,1,1500,800,834.52,214.89,700,950,435889,168,0.8,39,4385,708,16.15%,66,209639,4780.82,50,1.14,27,9,27,21,12,23,19.83,21.27,28,5,33,17
Barking and Dagenham,57,450,1600,750,779.64,207.7,680,850,351021,331,1.51,33,3780,680,17.99%,70,218869,5790.19,20,0.53,32,23,4,19,4,31,18.83,21.59,29,3,32,14
Newham,303,368.33,3575,950,1017.25,371.52,800,1200,395101,523,1.49,32,3858,308,7.98%,64,351036,9098.91,45,1.17,31,22,2,32,20,21,21.33,21.6,30,17,47,31
Havering,9,550,900,700,722.22,97.5,700,750,432421,168,0.64,39,11446,2078,18.15%,66,262052,2289.46,60,0.52,28,4,27,18,12,32,20.17,21.77,31,1,32,14
Enfield,128,400,1300,800,797.86,188.34,698.75,900,441038,583,1.77,37,8220,1741,21.18%,68,329984,4014.4,60,0.73,25,27,21,9,9,28,19.83,21.99,32,5,37,26
City of London,458,600,3990,1200,1282.13,483.26,1000,1400,885581,,0,37,315,16,5.08%,63,8583,2724.76,160,50.79,,,,,,,,,,,,
Total,6126,1,5500,953.33,1076.83,459.16,800,1235,533687,10934,1.36,36,148158.00,27436.00,18.52%,70,8017797.00,5411.65,3100.00,2.09,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
